args =  Namespace(dataset='comb', split='dense', repeat=1, test=False, optruns=100, path='results/', name='jacobi+comb', detach=False, savemodel=False, power=False, cheby=False, legendre=False, bern=False, jacobi=True, sole=False, fixalpha=False, multilayer=False, resmultilayer=False)
-0.6000, 1.5000, alpha 1.0, lr 0.0500/0.0010/0.0050, wd 0.0010/0.0001/0.0001, loss 0.8498384964
-1.0000, 1.1000, alpha 1.5, lr 0.0500/0.0010/0.0050, wd 0.0010/0.0001/0.0001, loss 0.2867371930
-1.0000, 1.3500, alpha 1.5, lr 0.0500/0.0010/0.0050, wd 0.0010/0.0001/0.0001, loss 0.2867174727
-1.0000, 1.3000, alpha 1.5, lr 0.0500/0.0010/0.0050, wd 0.0010/0.0001/0.0001, loss 0.2867661596
-0.9000, 2.0000, alpha 1.5, lr 0.0500/0.0010/0.0050, wd 0.0010/0.0005/0.0001, loss 0.3611876228
-0.9000, 1.2000, alpha 1.5, lr 0.0500/0.0010/0.0050, wd 0.0010/0.0001/0.0001, loss 0.3039189237
-0.8500, 1.6000, alpha 1.5, lr 0.0500/0.0010/0.0050, wd 0.0010/0.0001/0.0001, loss 0.3347576159
-0.7500, 1.0000, alpha 1.5, lr 0.0050/0.0010/0.0500, wd 0.0005/0.0001/0.0000, loss 0.2867533220
-0.7000, 1.0000, alpha 1.5, lr 0.0050/0.0010/0.0500, wd 0.0005/0.0001/0.0000, loss 0.2868892007
-0.7000, 1.3500, alpha 1.5, lr 0.0500/0.0010/0.0050, wd 0.0001/0.0001/0.0010, loss 0.4385563307
-1.0000, 1.1500, alpha 1.5, lr 0.0500/0.0010/0.0050, wd 0.0010/0.0001/0.0001, loss 0.2867124370
-0.8000, 1.3500, alpha 1.5, lr 0.0500/0.0010/0.0050, wd 0.0001/0.0001/0.0010, loss 0.3329110965
-0.9500, 1.1500, alpha 1.5, lr 0.0500/0.0010/0.0050, wd 0.0010/0.0001/0.0001, loss 0.2869992911
-0.9500, 1.4500, alpha 1.5, lr 0.0500/0.0010/0.0050, wd 0.0010/0.0001/0.0001, loss 0.2890827270
-0.9500, 1.1500, alpha 1.5, lr 0.0500/0.0010/0.0050, wd 0.0010/0.0001/0.0001, loss 0.2899759519
-0.8500, 1.2000, alpha 1.5, lr 0.0500/0.0010/0.0050, wd 0.0010/0.0001/0.0001, loss 0.3029851581
-1.0000, 0.8500, alpha 1.5, lr 0.0500/0.0100/0.0050, wd 0.0010/0.0001/0.0005, loss 0.2867121540
-0.8500, 1.2500, alpha 1.5, lr 0.0500/0.0010/0.0050, wd 0.0010/0.0001/0.0001, loss 0.3308789907
-0.8500, 0.7500, alpha 2.0, lr 0.0500/0.0100/0.0050, wd 0.0010/0.0001/0.0005, loss 0.2953353573
best params  {'lr1': 0.05, 'lr2': 0.01, 'lr3': 0.005, 'wd1': 0.001, 'wd2': 0.0001, 'wd3': 0.0005, 'alpha': 1.5, 'a': -1.0, 'b': 0.8500000000000001}
best valf1  0.28671215403825046
