args =  Namespace(dataset='rejection', split='dense', repeat=1, test=False, optruns=100, path='results/', name='jacobi+rejection', detach=False, savemodel=False, power=False, cheby=False, legendre=False, bern=False, jacobi=True, sole=False, fixalpha=False, multilayer=False, resmultilayer=False)
-0.7000, 1.1000, alpha 1.0, lr 0.0010/0.0010/0.0500, wd 0.0005/0.0005/0.0001, loss 0.1986401992
-0.7000, 1.0500, alpha 1.0, lr 0.0010/0.0010/0.0500, wd 0.0005/0.0005/0.0001, loss 0.1931949361
-0.8500, 0.9500, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0000/0.0005/0.0001, loss 0.0193608343
-1.0000, 1.4500, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0000/0.0005/0.0001, loss 0.0156152290
-0.8500, 1.4500, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0000/0.0005/0.0001, loss 0.0395368177
-0.9000, 1.4500, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0000/0.0005/0.0001, loss 0.0230666814
-1.0000, 1.6500, alpha 2.0, lr 0.0010/0.0500/0.0010, wd 0.0000/0.0005/0.0001, loss 173.1774427223
-1.0000, 1.6500, alpha 2.0, lr 0.0010/0.0500/0.0010, wd 0.0000/0.0005/0.0001, loss 270.1881669617
-0.7500, 1.2000, alpha 2.0, lr 0.0010/0.0010/0.0050, wd 0.0000/0.0005/0.0001, loss 6.9651535589
-0.2500, 1.8000, alpha 0.5, lr 0.0010/0.0010/0.0500, wd 0.0001/0.0005/0.0001, loss 4.3002348328
-0.7500, 1.2000, alpha 2.0, lr 0.0010/0.0010/0.0050, wd 0.0001/0.0005/0.0001, loss 9.0765491909
-0.6000, 0.8500, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0000/0.0005/0.0001, loss 0.0408900836
-0.9000, 1.3000, alpha 2.0, lr 0.0050/0.0010/0.0500, wd 0.0000/0.0005/0.0001, loss 0.0209423346
-1.0000, 1.3000, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0000/0.0005/0.0001, loss 0.0156152305
-0.9000, 1.3000, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0000/0.0005/0.0001, loss 0.0246291663
-0.9000, 1.3500, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0000/0.0005/0.0001, loss 0.0221223038
-1.0000, 1.5000, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0000/0.0005/0.0001, loss 0.0156152289
-1.0000, 1.5000, alpha 2.0, lr 0.0010/0.0050/0.0500, wd 0.0000/0.0005/0.0001, loss 0.0156457677
-0.8000, 1.1000, alpha 1.5, lr 0.0010/0.0010/0.0500, wd 0.0010/0.0005/0.0001, loss 0.0350855699
-0.8000, 1.0000, alpha 2.0, lr 0.0010/0.0050/0.0500, wd 0.0010/0.0005/0.0001, loss 0.0413722870
-0.6500, 0.9500, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0000/0.0005/0.0001, loss 0.0405852615
-0.9500, 1.5500, alpha 2.0, lr 0.0500/0.0010/0.0500, wd 0.0000/0.0005/0.0001, loss 0.0183334473
-1.0000, 1.4000, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0000/0.0005/0.0005, loss 0.0156152510
1.3500, 0.9000, alpha 2.0, lr 0.0500/0.0010/0.0500, wd 0.0000/0.0005/0.0001, loss 2.5090441298
1.5000, 1.4000, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0000/0.0005/0.0005, loss 5.2168713538
-0.9000, 1.1500, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0000/0.0005/0.0005, loss 0.0203086504
-0.9000, 1.4000, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0000/0.0005/0.0005, loss 0.0233318966
-0.7500, 1.2500, alpha 2.0, lr 0.0010/0.0100/0.0500, wd 0.0000/0.0005/0.0005, loss 0.3234775572
-0.6000, 1.5000, alpha 2.0, lr 0.0010/0.0010/0.0100, wd 0.0000/0.0005/0.0000, loss 2.2285491897
-0.7500, 1.2500, alpha 2.0, lr 0.0010/0.0100/0.0100, wd 0.0000/0.0005/0.0000, loss 1.6519637725
-1.0000, 1.3500, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0000/0.0005/0.0001, loss 0.0156152315
-0.9500, 1.1000, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0000/0.0005/0.0001, loss 0.0162062851
0.1500, 1.3500, alpha 2.0, lr 0.0050/0.0010/0.0500, wd 0.0000/0.0005/0.0001, loss 1.0155586163
-1.0000, 0.2000, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0000/0.0005/0.0001, loss 0.0158254817
-1.0000, 1.6000, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0000/0.0005/0.0001, loss 0.0156152271
-0.8500, 1.6000, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0000/0.0001/0.0001, loss 0.0474522016
-0.8000, 1.7500, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0005/0.0005/0.0001, loss 0.0801583554
-0.8000, 1.5000, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0000/0.0001/0.0001, loss 0.0547378664
-0.9500, 1.3000, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0000/0.0005/0.0001, loss 0.0175623228
-0.9500, 1.2000, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0000/0.0005/0.0001, loss 0.0178110829
best params  {'lr1': 0.001, 'lr2': 0.001, 'lr3': 0.05, 'wd1': 0.0, 'wd2': 0.0005, 'wd3': 0.0001, 'alpha': 2.0, 'a': -1.0, 'b': 1.6}
best valf1  0.015615227133966982
