args =  Namespace(dataset='band', split='dense', repeat=1, test=False, optruns=100, path='results/', name='jacobi+band', detach=False, savemodel=False, power=False, cheby=False, legendre=False, bern=False, jacobi=True, sole=False, fixalpha=False, multilayer=False, resmultilayer=False)
-0.6000, -0.5000, alpha 0.5, lr 0.0010/0.0050/0.0500, wd 0.0001/0.0010/0.0000, loss 0.2820238420
-0.8000, 1.3500, alpha 2.0, lr 0.0010/0.0050/0.0500, wd 0.0005/0.0005/0.0000, loss 0.0167001471
-0.9500, 1.0500, alpha 2.0, lr 0.0050/0.0050/0.0100, wd 0.0005/0.0005/0.0000, loss 0.0156500184
-0.8000, 1.3500, alpha 2.0, lr 0.0010/0.0050/0.0500, wd 0.0005/0.0005/0.0000, loss 0.0163538108
-0.7000, 0.8000, alpha 2.0, lr 0.0010/0.0050/0.0500, wd 0.0005/0.0005/0.0000, loss 0.0156421406
-0.9000, 0.2500, alpha 2.0, lr 0.0010/0.0050/0.0010, wd 0.0000/0.0001/0.0000, loss 1.0922894549
-1.0000, 0.6500, alpha 1.5, lr 0.0010/0.0500/0.0500, wd 0.0005/0.0005/0.0000, loss 0.0156154157
0.4000, 0.6000, alpha 2.0, lr 0.0010/0.0050/0.0010, wd 0.0000/0.0005/0.0000, loss 16.2780979478
0.4000, 1.5500, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0005/0.0005/0.0000, loss 1.9671159504
-1.0000, 1.2000, alpha 2.0, lr 0.0010/0.0050/0.0500, wd 0.0005/0.0005/0.0000, loss 0.0156152443
-0.9500, 1.2500, alpha 2.0, lr 0.0010/0.0050/0.0500, wd 0.0005/0.0005/0.0000, loss 0.0156157472
-0.9500, 1.1000, alpha 2.0, lr 0.0010/0.0050/0.0500, wd 0.0005/0.0005/0.0000, loss 0.0156152507
-0.8000, 1.1000, alpha 2.0, lr 0.0010/0.0050/0.0500, wd 0.0005/0.0005/0.0000, loss 0.0158559132
-0.8000, 1.1000, alpha 2.0, lr 0.0010/0.0050/0.0500, wd 0.0005/0.0005/0.0000, loss 0.0156476827
-0.9000, 1.0000, alpha 2.0, lr 0.0500/0.0050/0.0500, wd 0.0005/0.0005/0.0000, loss 0.0156412195
-0.9000, 1.0000, alpha 2.0, lr 0.0500/0.0050/0.0500, wd 0.0001/0.0000/0.0000, loss 0.0156152394
1.3000, 0.9000, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0001/0.0000/0.0000, loss 2.5561845654
-0.7000, 1.2000, alpha 2.0, lr 0.0050/0.0050/0.0500, wd 0.0010/0.0000/0.0000, loss 0.0184626010
-0.9500, 0.8000, alpha 2.0, lr 0.0500/0.0050/0.0500, wd 0.0001/0.0000/0.0000, loss 0.0156160445
1.3500, 1.1500, alpha 2.0, lr 0.0500/0.0050/0.0500, wd 0.0010/0.0000/0.0000, loss 4.5013863385
0.0500, 1.0000, alpha 2.0, lr 0.0500/0.0050/0.0500, wd 0.0001/0.0000/0.0001, loss 0.5419116052
-1.0000, 0.9500, alpha 2.0, lr 0.0010/0.0500/0.0500, wd 0.0001/0.0005/0.0005, loss 0.0156152945
0.0500, 1.0000, alpha 2.0, lr 0.0500/0.0500/0.0500, wd 0.0001/0.0000/0.0001, loss 2.8640489681
0.7000, 1.3000, alpha 2.0, lr 0.0500/0.0050/0.0500, wd 0.0001/0.0010/0.0005, loss 3.2190327528
-0.8500, 1.4500, alpha 2.0, lr 0.0010/0.0050/0.0100, wd 0.0005/0.0005/0.0005, loss 0.0357376742
-1.0000, 0.9500, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0000/0.0005/0.0005, loss 0.0156152692
-0.8500, 1.3000, alpha 2.0, lr 0.0010/0.0050/0.0500, wd 0.0005/0.0010/0.0005, loss 0.0156393195
best params  {'lr1': 0.05, 'lr2': 0.005, 'lr3': 0.05, 'wd1': 0.0001, 'wd2': 0.0, 'wd3': 0.0, 'alpha': 2.0, 'a': -0.9, 'b': 1.0}
best valf1  0.015615239408798515
