args =  Namespace(dataset='high', split='dense', repeat=1, test=False, optruns=100, path='results/', name='legendre+high', detach=False, savemodel=False, power=False, cheby=False, legendre=True, bern=False, jacobi=False, sole=False, fixalpha=False, multilayer=False, resmultilayer=False)
0.0000, 0.0000, alpha 2.0, lr 0.0010/0.0050/0.0500, wd 0.0001/0.0000/0.0005, loss 0.0206599707
0.0000, 0.0000, alpha 1.0, lr 0.0010/0.0050/0.0500, wd 0.0001/0.0001/0.0000, loss 0.0086155841
0.0000, 0.0000, alpha 1.0, lr 0.0010/0.0050/0.0500, wd 0.0001/0.0001/0.0000, loss 0.0064765689
0.0000, 0.0000, alpha 1.0, lr 0.0010/0.0050/0.0500, wd 0.0001/0.0001/0.0000, loss 0.0076796039
0.0000, 0.0000, alpha 1.0, lr 0.0010/0.0050/0.0500, wd 0.0001/0.0001/0.0000, loss 0.0086155841
0.0000, 0.0000, alpha 1.0, lr 0.0500/0.0050/0.0010, wd 0.0000/0.0001/0.0000, loss 15.1917025328
0.0000, 0.0000, alpha 1.0, lr 0.0010/0.0050/0.0500, wd 0.0000/0.0001/0.0000, loss 0.0074605457
0.0000, 0.0000, alpha 1.0, lr 0.0010/0.0100/0.0500, wd 0.0001/0.0001/0.0000, loss 0.0084264356
0.0000, 0.0000, alpha 0.5, lr 0.0050/0.0500/0.0500, wd 0.0001/0.0005/0.0000, loss 0.0107835862
0.0000, 0.0000, alpha 0.5, lr 0.0100/0.0100/0.0500, wd 0.0001/0.0005/0.0000, loss 0.0226867185
0.0000, 0.0000, alpha 1.0, lr 0.0100/0.0050/0.0500, wd 0.0001/0.0001/0.0010, loss 0.0078684187
0.0000, 0.0000, alpha 1.0, lr 0.0010/0.0050/0.0500, wd 0.0000/0.0001/0.0000, loss 0.0057847327
0.0000, 0.0000, alpha 1.0, lr 0.0010/0.0050/0.0500, wd 0.0000/0.0001/0.0000, loss 0.0074640267
0.0000, 0.0000, alpha 1.0, lr 0.0010/0.0050/0.0500, wd 0.0000/0.0001/0.0000, loss 0.0095328999
0.0000, 0.0000, alpha 1.0, lr 0.0010/0.0050/0.0010, wd 0.0000/0.0001/0.0000, loss 14.6279638052
0.0000, 0.0000, alpha 1.0, lr 0.0010/0.0050/0.0500, wd 0.0000/0.0001/0.0000, loss 0.0077236074
